Name;Typ;Stadt;Land;Längengrad;Breitengrad;Quelle;Operator;Details
Trier, Petrisberg;Bushaltestelle;Trier;Deutschland;6.6601434;49.750007;OpenStreetMap;Stadt Trier;network: VRT
Trier, Amphitheater;Bushaltestelle;Trier;Deutschland;6.6488063;49.7468425;OpenStreetMap;Stadt Trier;network: VRT
Kürenz (Trier), Kolonnenweg;Bushaltestelle;Trier;Deutschland;6.6720784;49.7611172;OpenStreetMap;Stadt Trier;network: VRT
Kürenz (Trier), Avelerhof;Bushaltestelle;Trier;Deutschland;6.6797062;49.7589015;OpenStreetMap;Stadt Trier;network: VRT
Olewig (Trier), Kleeburger Weg;Bushaltestelle;Trier;Deutschland;6.672064;49.7410621;OpenStreetMap;Stadt Trier;network: VRT
Trier, Am Keltenweg Süd;Bushaltestelle;Trier;Deutschland;6.6628728;49.7644797;OpenStreetMap;;
Olewig (Trier), Hunsrückstraße;Bushaltestelle;Trier;Deutschland;6.6696419;49.7416741;OpenStreetMap;Stadt Trier;network: VRT
Kernscheid (Trier), Höhenweg 2;Bushaltestelle;Trier;Deutschland;6.6736591;49.7361956;OpenStreetMap;;
Trier Hbf;Bushaltestelle;Trier;Deutschland;6.6511444;49.7557719;OpenStreetMap;;ref: 11
Trier-Nord, Nells Park;Bushaltestelle;Trier;Deutschland;6.6670897;49.7716949;OpenStreetMap;Stadt Trier;network: VRT
Trier, Zurlaubener Ufer;Bushaltestelle;Trier;Deutschland;6.6335201;49.7631562;OpenStreetMap;Stadt Trier;network: VRT
Kürenz (Trier), Nellstraße;Bushaltestelle;Trier;Deutschland;6.6612696;49.7605418;OpenStreetMap;Stadt Trier;network: VRT
Trier, Balduinsbrunnen/Hauptbahnhof;Bushaltestelle;Trier;Deutschland;6.6494088;49.7574669;OpenStreetMap;Stadt Trier;"wheelchair: yes; network: VRT"
Trier, Treviris;Bushaltestelle;Trier;Deutschland;6.6407201;49.7582541;OpenStreetMap;Stadt Trier;
Trier, Südallee/Kaiserstraße;Bushaltestelle;Trier;Deutschland;6.6359191;49.7499515;OpenStreetMap;Stadt Trier;network: VRT
Trier, Kürenzer Straße;Bushaltestelle;Trier;Deutschland;6.6556047;49.76075;OpenStreetMap;;
Trier, Kürenzer Straße;Bushaltestelle;Trier;Deutschland;6.6559146;49.7608226;OpenStreetMap;;
Trier, Theodor-Heuss-Allee;Bushaltestelle;Trier;Deutschland;6.6462967;49.7592727;OpenStreetMap;Stadt Trier;"wheelchair: yes; network: VRT"
Trier, Porta Nigra;Bushaltestelle;Trier;Deutschland;6.644389;49.7594208;OpenStreetMap;;wheelchair: yes
Trier, Franz-Georg-Straße;Bushaltestelle;Trier;Deutschland;6.6562391;49.7632177;OpenStreetMap;;wheelchair: yes
Kürenz (Trier), Am Wissenschaftspark;Bushaltestelle;Trier;Deutschland;6.6677732;49.7559232;OpenStreetMap;;
Kürenz (Trier), Behringstraße;Bushaltestelle;Trier;Deutschland;6.6770544;49.750677;OpenStreetMap;Stadt Trier;"wheelchair: yes; network: VRT"
Kürenz (Trier), Im Avelertal;Bushaltestelle;Trier;Deutschland;6.6741212;49.7598635;OpenStreetMap;;
Kürenz (Trier), Arnoldistraße;Bushaltestelle;Trier;Deutschland;6.6641931;49.7618011;OpenStreetMap;;wheelchair: limited
Pallien (Trier), Sankt Urban;Bushaltestelle;Trier;Deutschland;6.6382836;49.7698754;OpenStreetMap;;
Heiligkreuz (Trier), Am Kiewelsberg;Bushaltestelle;Trier;Deutschland;6.6399983;49.740141;OpenStreetMap;;
Heiligkreuz (Trier), Im Hopfengarten;Bushaltestelle;Trier;Deutschland;6.6410269;49.7436275;OpenStreetMap;Stadt Trier;network: VRT
Heiligkreuz (Trier), Wisportstraße;Bushaltestelle;Trier;Deutschland;6.6412222;49.7430252;OpenStreetMap;Stadt Trier;network: VRT
Heiligkreuz (Trier), Bernhardstraße;Bushaltestelle;Trier;Deutschland;6.6429173;49.7453355;OpenStreetMap;;
Heiligkreuz (Trier), Am Kiewelsberg;Bushaltestelle;Trier;Deutschland;6.6399392;49.7401581;OpenStreetMap;;
Trier, Gambrinusstraße;Bushaltestelle;Trier;Deutschland;6.6391253;49.7438833;OpenStreetMap;Stadt Trier;network: VRT
Trier, Gambrinusstraße;Bushaltestelle;Trier;Deutschland;6.637852;49.7441445;OpenStreetMap;Stadt Trier;network: VRT
Weismark (Trier), Am Bildstock;Bushaltestelle;Trier;Deutschland;6.6395028;49.7300591;OpenStreetMap;Stadt Trier;network: VRT
Heiligkreuz (Trier), Franz-Buß-Straße;Bushaltestelle;Trier;Deutschland;6.6437455;49.7375851;OpenStreetMap;;
Heiligkreuz (Trier), Ludwig-Simon-Straße;Bushaltestelle;Trier;Deutschland;6.6458297;49.7377726;OpenStreetMap;;network: VRT
Heiligkreuz (Trier), An der Ziegelei;Bushaltestelle;Trier;Deutschland;6.6459202;49.7394948;OpenStreetMap;;
Heiligkreuz (Trier), Straßburger Allee;Bushaltestelle;Trier;Deutschland;6.64364;49.7410691;OpenStreetMap;;network: VRT
Heiligkreuz (Trier), An der Ziegelei;Bushaltestelle;Trier;Deutschland;6.6463399;49.7393314;OpenStreetMap;Stadt Trier;network: VRT
Weismark (Trier), Pfahlweiher;Bushaltestelle;Trier;Deutschland;6.6377317;49.7261897;OpenStreetMap;;network: VRT
Heiligkreuz (Trier), Trevererstraße;Bushaltestelle;Trier;Deutschland;6.6478525;49.7339217;OpenStreetMap;;"wheelchair: yes; network: VRT"
Heiligkreuz (Trier), Werdingstraße;Bushaltestelle;Trier;Deutschland;6.6487304;49.7361565;OpenStreetMap;;
Mariahof (Trier), Wolfsberg;Bushaltestelle;Trier;Deutschland;6.652931;49.7292331;OpenStreetMap;;wheelchair: yes
Heiligkreuz (Trier), Hans-Böckler-Allee;Bushaltestelle;Trier;Deutschland;6.6455624;49.7416124;OpenStreetMap;;
Heiligkreuz (Trier), Am Herrenbrüchen;Bushaltestelle;Trier;Deutschland;6.6449991;49.7432308;OpenStreetMap;;
Heiligkreuz (Trier), Hans-Böckler-Allee;Bushaltestelle;Trier;Deutschland;6.6454693;49.7414877;OpenStreetMap;;
Heiligkreuz (Trier), Peter-Wust-Straße;Bushaltestelle;Trier;Deutschland;6.6490497;49.7394844;OpenStreetMap;;
Weismark (Trier), Joseph-Haydn-Straße;Bushaltestelle;Trier;Deutschland;6.6382462;49.7348047;OpenStreetMap;Stadt Trier;network: VRT
Feyen (Trier), Clara-Viebig-Straße;Bushaltestelle;Trier;Deutschland;6.6318233;49.7275373;OpenStreetMap;Stadt Trier;network: VRT
Weismark (Trier), Cusanusstraße;Bushaltestelle;Trier;Deutschland;6.6389753;49.7320225;OpenStreetMap;Stadt Trier;network: VRT
Feyen (Trier), Auf dem Kirchspiel;Bushaltestelle;Trier;Deutschland;6.6277305;49.7272742;OpenStreetMap;;
Feyen (Trier), Pellinger Straße;Bushaltestelle;Trier;Deutschland;6.631269;49.7255556;OpenStreetMap;;
Feyen (Trier), Fritz-Quant-Straße;Bushaltestelle;Trier;Deutschland;6.6284723;49.7238002;OpenStreetMap;Stadt Trier;network: VRT
