Name,Kategorien,Adresse,Kontaktinformationen,Öffnungszeiten,Website URL,Beschreibung,Image Source URLs,Ernährungsformen,Küchen,Mehr,Zahlungsarten
Triller's Esszimmer,"Restaurant, Bar / Kneipe, €€ (mittelpreisig)","Trillerweg 57, 66117 Saarbrücken",+49 681 580000,Dienstag - Samstag: 18 bis 22 Uhr,https://www.hotel-am-triller-saarbruecken.de/restaurant-triller/,"Trillers Esszimmer im Hotel Am Triller: Regionale Produkte, Authentizität und Raffinesse zeichnen das Angebot aus. Besonders empfehlenswert zu den Speisen: das süffige Trillerbier, Trillers Stöffchen und die delikaten Trillerweine.","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/10/105954_x_y_0efb99_10.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/10/105955_x_y_32804a_10.jpg","Glutenfrei, Vegan, Vegetarisch","Französisch, Saarländisch","Barrierefrei, Hundefreundlich, Kostenloses WLAN, Reservierung möglich","American Express, Bar, EC, MasterCard, VisaCard"
Brauhaus zum Stiefel,"Restaurant, Bar / Kneipe, €€ (mittelpreisig), Café","Am Stiefel 2, 66111 Saarbrücken",+49 681 309846-50,Montag - Sonntag: 11 bis 23 Uhr,https://brauhaus-zum-stiefel.de/,"Das Brauhaus zum Stiefel mitten in Saarbrücken ist ein Ort voller Geschichte. In den stilvoll und gemütlich renovierten Räumen gibt’s Speisen, Getränke und Unterhaltung vom Feinsten. Das selbst entwickeltes Bier für erfrischend milden und bekömmlichen Biergenuss wird nach allen Regelnder Braukunst nur mit deutschem Hopfen von der Brauerei Karlsberg gebraut. Die Köche bereiten typische Speisen des Saarlands zu, mit ihren französischen Einflüssen, wie die in der Region bekannte Merguez Wurst oder dem Salat Lyonnaise. Mit Weißwurst, Obazda und Co finden sich aber auch Spuren der bayerischen Küche auf der Speisekarte.","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104731_x_y_f6e7bc_08.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104732_x_y_d982a7_08.jpg","Vegan, Vegetarisch","Französisch, Saarländisch","Barrierefrei, Familienfreundlich, Hundefreundlich, Kostenloses WLAN, Reservierung möglich, Zum Mitnehmen","American Express, Bar, EC, MasterCard, Saarbrücker Kohle, VisaCard"
Galerie Café Monroe,"€€ (mittelpreisig), Café","Herbergsgasse 4, 66111 Saarbrücken",+49 681 40138148,Dienstag - Samstag: 10 bis 17 Uhr,null,"Unser kleines Café direkt im Herzen von Saarbrücken, versteckt in einer kleinen Gasse, ist ein gemütlicher Ort, umgeben von Liebe. Hier können Sie unserern selbst gebackenen Kuchen mit einer frischen Tasse Kaffee genießen.","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/11/106648_x_y_ae8e17_11.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/11/106649_x_y_9500b5_11.jpg",null,"Kuchen, Torten und Pâtisserie","Barrierefrei, Familienfreundlich, Hundefreundlich, Reservierung möglich, Sitzplätze im Freien, Zum Mitnehmen",Bar
ILSE Saarbrücken,"Restaurant, Bar / Kneipe, €€ (mittelpreisig), Biergarten","Neffstraße 1, 66123 Saarbrücken",+49 681 91003095,"Montag, Freitag: 17.30 bis 23 Uhr; Dienstag - Donnerstag: 12 bis 15 Uhr und 17.30 bis 23 Uhr",http://www.ilse-sb.de,"Wir sind Eure Kneipe um die Ecke, das Restaurant auf dem Rotenbühl oder einfach einer der schönsten Biergärten Saarbrückens. Viele Beschreibungen unserer Gäste passen auf die ILSE und allen wollen wir jeden Tag gerecht werden. Euch erwartet eine freundliche und entspannte Atmosphäre. Ein Ort, an dem sich Alt und Jung immer wieder trifft und gerne eine schöne Zeit zusammen genießt. Ihr seid jederzeit willkommen, auch auf ein ""schnelles Helles"" an der Theke oder einfach nur ein kleines Feierabend-Bier in der Abendsonne auf dem Ilseplatz.","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/10/106256_x_y_b04b34_10.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/10/106257_x_y_148bc4_10.jpg","Glutenfrei, Vegan, Vegetarisch","Saarländisch, wechselnde Karte","Barrierefrei, Familienfreundlich, Hundefreundlich, Kostenloses WLAN, Reservierung möglich, Sitzplätze im Freien, Zum Mitnehmen","American Express, Bar, EC, MasterCard, VisaCard"
IU,"Restaurant, Bar / Kneipe, €€ (mittelpreisig), Café","Sankt-Johanner-Markt 5, 66111 Saarbrücken",+49 681 958 128 40,Montag - Donnerstag: 11.30 bis 00 Uhr; Freitag - Samstag: 11.30 bis 02 Uhr; Sonntag: ab 16 Uhr,https://www.iu-sb.de/,"Auf unzähligen Reisen nach Asien oder Südamerika verbringen wir viele Stunden Backstage in kleinen Beachhouses, Bars oder Garküchen. Wir palavern mit wundervollen Barleuten, Köchinnen oder Köchen – um mit allen Sinnen zu erfahren, wie sie ihre göttlichen Spezialitäten so aromatisch, frisch und anregend hinkriegen. Unsere gemeinsame Sprache sind Düfte und Aromen. Fast immer überträgt sich die Begeisterung. Es entsteht ein Kontakt aus Liebe zu den großartigen Produkten, den genialen kulinarischen Traditionen in Ländern wie Peru, Thailand, Brasilien oder China. Die Luft beginnt zu vibrieren, die Partys mit dem Essen, den tollen Menschen und ihren unglaublich freshen Drinks wollen nie enden. Mit neuen Freunden und neuen Rezepten kommen wir jedes Mal begeistert zurück, denn die Geschichten, die wir Euch später erzählen wollen, beginnen immer genau hier – mit Euch. Seid ein Teil davon – und startet Eure Reise mit einem Besuch im ÏU.","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104724_x_y_09fa79_08.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104725_x_y_e08cbd_08.jpg","Vegan, Vegetarisch",Asiatisch,"Barrierefrei, Familienfreundlich, Hundefreundlich, Kostenloses WLAN, Reservierung möglich, Zum Mitnehmen","American Express, Bar, EC, MasterCard, Saarbrücker Kohle, VisaCard"
NOYA,"Restaurant, Bar / Kneipe, €€ (mittelpreisig), Café","Faktoreistraße 4, 66111 Saarbrücken",+49 681 98915963,Montag - Donnerstag: 11 bis 23 Uhr; Freitag: 11 bis 24 Uhr; Samstag: 9 bis 24 Uhr; Sonntag: 9 bis 15 Uhr,https://www.noya-sb.de/,"Im NOYA wird das mediterrane Lebensgefühl auf einzigartige Weise nach Saarbrücken gebracht. Das talentierte Küchenteam verzaubert die Sinne mit authentischen mediterranen Gerichten. Hier kommt man in den Genuss einer neapolitanischen Pizza, hergestellt aus feinstem italienischem Pizzamehl und mit einem Teig, der ganze 72 Stunden reift. Die Pizzen werden in einem extra heißen Steinofen gebacken, was ihnen eine besondere Leichtigkeit verleiht. Ebenfalls erwarten Euch an unserer gemütlichen Bar tolle Drinks und am Wochenende ein leckeres regionales Brunchbuffet. Von Montag bis Freitag gibt es immer wöchentliche Lunch Gerichte.","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104721_x_y_2eccba_08.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/11/106977_x_y_2ef7c0_11.jpg","Vegan, Vegetarisch",Italienisch,"Barrierefrei, Familienfreundlich, Hundefreundlich, Kostenloses WLAN, Reservierung möglich, Zum Mitnehmen","American Express, Bar, EC, MasterCard, Saarbrücker Kohle, VisaCard"
Pizza Gotti,"Restaurant, €€ (mittelpreisig)","Mainzer Strasse 8, 66111 Saarbrücken",+49 681 68 63 83 66,Montag - Dienstag: 18 bis 22 Uhr; Mittwoch - Samstag: 12 bis 22 Uhr; Sonntag: 17 bis 21 Uhr,https://www.gotti-pizza.de/,Wir lieben das Zusammenspiel aus neapolitanischer Tradition und Moderne. So entstehen unsere spannenden Kreationen aus besten Zutaten.,"https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104849_x_y_ffea27_08.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104852_x_y_1d198d_08.jpg","Vegan, Vegetarisch",Italienisch,"Familienfreundlich, Hundefreundlich, Reservierung möglich, Sitzplätze im Freien, Zum Mitnehmen","Bar, EC, MasterCard, VisaCard"
Rosenbar Wine & Lunch,"Restaurant, Bar / Kneipe, €€ (mittelpreisig)","Dudweilerstraße 11, 66111 Saarbrücken",0681 59096185,Dienstag - Donnerstag: 17 Uhr bis 22 Uhr; Freitag - Samstag: 17 Uhr bis 24 Uhr,http://www.rosenbar.de,"Die Rosenbar liegt zentral im Herzen von Saarbrücken, in der Dudweiler Straße und befindet sich nur wenige Gehminuten entfernt von beliebten Orten wie der Bahnhofstraße, dem St. Johanner Markt und dem Nauwieser Viertel. Dadurch ist sie der ideale Ort für einen Kaffee oder ein Dinner nach einem ausgedehnten Einkaufsbummel oder einfach, um entspannt mit einem Glas Wein oder Cremant auf das Wochenende anzustoßen.","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104874_x_y_ab072c_08.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/08/104877_x_y_98fedc_08.jpg","Vegan, Vegetarisch","Italienisch, Spanisch","Hundefreundlich, Kostenloses WLAN, Reservierung möglich, Sitzplätze im Freien","Bar, EC, MasterCard, VisaCard"
Albrechts Casino am Staden,"Restaurant, €€€ (hochpreisig)","Bismarckstraße 47, 66121 Saarbrücken",+49 681 62364,Mittwoch - Sonntag: 11 bis 1 Uhr,https://www.albrechts-casino.de/,"Nach dem Motto von Johann Wolfgang von Goethe: „Hier bin ich Gast, hier darf ich‘s sein!“ verwöhnt Sie Familie Albrecht gemeinsam mit ihrem Service- und Küchenteam. Genießen Sie in einem traumhaft schönen Ambiente kreative Kochkunst auf höchstem Niveau. Wir werden Ihren Besuch zum Erlebnis für alle Sinne machen. Alle Speisen werden von unserem Küchenteam frisch und mit sehr viel Liebe zubereitet. Daher können auch kleine Wartezeiten entstehen, wofür wir Sie um Verständnis bitten. Unser Haus ist exklusiver Partner slowmeat®: Das Fleisch stammt ausschließlich von freilaufenden Weidetieren aus der Extremadura (ca. 500 ha großer Lebensraum in Spanien - Europas größtes Naturschutzgebiet) Mehr als Bio: Grundlage ist Respekt vor Tier und Natur mit dem Resultat des besten Geschmacks. Eine artgerechte Ernährung (Steppengräser, Kräuter & Eicheln) sorgt für ein langes Leben, das Cerdo Ibérico (schwarzes Schwein oder Pata Negra) wird bis zu 15 Monate alt. Das Savannenrind sogar bis zu 15 Jahre alt. Weitere Lieferanten im Premiumsegment sind die Firmen Schwamm (Saarbrücken), Rungis express (Meckenheim), Seawater Cubes (Saarbrücken), Edelpilzzucht Mirko Kalkum – Saarbrücker Bio-Edelpilze (Saarbrücken), VLG/CGRO (Saarbrücken), Früchte Kreis (Saarbrücken) und Green Tree Farming (Saarbrücken). Eine der schönsten und umfangreichsten Weinkarten der Region lädt Sie zu einem Besuch im Restaurant oder in unserer Weinstube ein. Wir werden direkt von Südtirols besten Käse-Affineur DEGUST mit exklusivem Rohmilchkäse beliefert. Albrechts Casino am Staden eignet sich auch hervorragend für Feierlichkeiten jeglicher Art. Unser kreatives Team organisiert für Sie Hochzeiten, Geburtstage, Familienfeierlichkeiten, Taufe, Kommunion, Tagungen sowie Trauerfeiern. Nutzen Sie unseren Party- und Cateringservice.","https://einkaufen.saarbruecken.de/cache/media/attachments/2023/10/105967_x_y_22b677_10.jpg, https://einkaufen.saarbruecken.de/cache/media/attachments/2023/10/105968_x_y_cd05ab_10.jpg","Glutenfrei, Vegan, Vegetarisch","Französisch, wechselnde Karte","Barrierefrei, Familienfreundlich, Hundefreundlich, Kostenloses WLAN, Reservierung möglich, Sitzplätze im Freien, Zum Mitnehmen","American Express, Bar, EC, MasterCard, VisaCard"
ALEX Saarbrücken,"Restaurant, Bar / Kneipe, €€ (mittelpreisig)","Saarstraße 15, 66111 Saarbrücken",+49 681 37 99 59 50,"Montag - Donnerstag, Sonntag: 9 bis 0 Uhr; Freitag - Samstag: 9 bis 1 Uhr",https://www.dein-alex.de/saarbruecken,"Dein Alex - Lecker Essen & Trinken Starte mit unserem Frühstücks- oder Brunchbuffet perfekt in Deinen Tag und lass Dich mit leckeren Speisen und Drinks in entspannter Atmosphäre bis in die Nacht bei uns verwöhnen. Alex heisst Geniessen, Lachen, Treffen, Arbeiten, Kennenlernen, Relaxen und vor allem nach Herzenslust Essen und Trinken. Gönn Dir deinen Moment „Urlaub vom Alltag“ bei uns, denn das Leben ist schön!",https://einkaufen.saarbruecken.de/cache/media/attachments/2023/09/105561_x_y_c64554_09.jpg,"Glutenfrei, Vegan, Vegetarisch",wechselnde Karte,"Familienfreundlich, Hundefreundlich, Kostenloses WLAN, Reservierung möglich, Sitzplätze im Freien","American Express, Bar, EC, MasterCard, VisaCard"
